iter	Logloss
0	0.6513173693
1	0.614393588
2	0.5839803574
3	0.5612299718
4	0.5384730588
5	0.5233004667
6	0.5092426989
7	0.498741619
8	0.4901266196
9	0.4742067891
10	0.4624445254
11	0.4514783094
12	0.4431305895
13	0.4387737394
14	0.4323814349
15	0.4251378829
16	0.4155291852
17	0.4118332097
18	0.4085154629
19	0.4015830482
20	0.3988382838
21	0.3963472149
22	0.3895503596
23	0.3843552235
24	0.3824608324
25	0.3807861635
26	0.3793349481
27	0.3766626113
28	0.375184808
29	0.372809628
30	0.3713778525
31	0.3703668274
32	0.3691137938
33	0.3683856911
34	0.366107904
35	0.3651872683
36	0.3643674123
37	0.3622562347
38	0.3616774496
39	0.3609084564
40	0.3603682594
41	0.3600177832
42	0.3593368221
43	0.3586452565
44	0.3571500687
45	0.3566073215
46	0.3549433861
47	0.354254378
48	0.3538299574
49	0.3531151125
50	0.3517020566
51	0.351390977
52	0.3503352222
53	0.3496527288
54	0.3488361617
55	0.3483563614
56	0.3480080652
57	0.3473758366
58	0.3470560032
59	0.3466639425
60	0.3459887674
61	0.3445971169
62	0.3443559038
63	0.3440149847
64	0.3438600373
65	0.3434949197
66	0.3431620195
67	0.3411223434
68	0.3408757146
69	0.3405456254
70	0.3402967244
71	0.3397982635
72	0.3395615741
73	0.3391000762
74	0.3388372924
75	0.3385997518
76	0.3375587028
77	0.3369248003
78	0.336583276
79	0.3361251854
80	0.3358417625
81	0.3355679051
82	0.3353458891
83	0.3351249515
84	0.3349320034
85	0.3346103507
86	0.3343625401
87	0.3341050921
88	0.3337757758
89	0.3335281653
90	0.3331599859
91	0.3327992059
92	0.3326178829
93	0.332434866
94	0.3320479018
95	0.3317593171
96	0.3314889921
97	0.3304951247
98	0.3302300153
99	0.3297509566
