iter	Passed	Remaining
0	5	504
1	9	456
2	13	435
3	18	437
4	22	425
5	26	408
6	29	394
7	34	395
8	37	383
9	41	374
10	45	367
11	49	364
12	53	358
13	57	351
14	61	345
15	65	342
16	68	336
17	72	330
18	76	326
19	80	321
20	84	316
21	87	310
22	91	306
23	95	302
24	99	297
25	102	292
26	106	288
27	110	283
28	114	279
29	117	275
30	121	269
31	124	265
32	128	261
33	132	257
34	136	253
35	140	248
36	143	244
37	147	240
38	151	236
39	155	232
40	158	228
41	162	224
42	166	221
43	170	216
44	174	212
45	178	209
46	181	205
47	185	200
48	188	196
49	192	192
50	196	188
51	200	184
52	203	180
53	207	177
54	211	173
55	215	169
56	218	165
57	222	161
58	226	157
59	230	153
60	234	149
61	238	146
62	242	142
63	246	138
64	250	134
65	254	130
66	258	127
67	261	123
68	265	119
69	269	115
70	273	111
71	277	107
72	280	103
73	284	100
74	288	96
75	292	92
76	295	88
77	299	84
78	303	80
79	306	76
80	310	72
81	314	68
82	317	65
83	321	61
84	325	57
85	329	53
86	332	49
87	336	45
88	340	42
89	343	38
90	347	34
91	351	30
92	355	26
93	358	22
94	362	19
95	366	15
96	370	11
97	373	7
98	377	3
99	381	0
